REF_DATE,GEO,DGUID,Financial market statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
26-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
27-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
28-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
29-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
30-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
31-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
01-09-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
02-09-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
03-09-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
04-09-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
05-09-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
06-09-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
07-09-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.5,,,,3
08-09-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.5,,,,3
09-09-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.5,,,,3
10-09-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
11-09-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
12-09-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.5,,,,3
